,load,inPin,inDirection,inSupply,driver,outPin,outDirection,outSupply
31,gen12p93dl2/gtslice1/gtssm2/gtssmpar21,samp_ma_interface.sb.euid[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar31,samp_ma_interface_1.sb.euid[0],out,VCCGT
34,gen12p93dl2/gtmempipe0/gtl3bankmtieoffpar31,gtmempipe_ft_tieoff_right_dsy_4_dsytie__gtl3bankm4_gtmempipe_ft__gtmempipe0_gtl3bankm0_lbiunit1_sender_dsy_lbiunit_lbicore_lbiinlet1_lni_lbi_vc_data_inf_target_vc_idata.data[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtl3bankm4,ft_node_l3bankin_data_pkt_L_RL.data[0],out,VCCGT
35,gen12p93dl2/gtslice0/gtssm0/gtssmpar51,lsc_rt_cmd_inf_up_0,in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtlscpar11,lsc_rt_cmd_inf_up_0,out,VCCGT
48,gen12p93dl2/gtslice1/gtssm3/gteusystop1,ga_dpas_data_inc[11][0],in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gteutop1,ga_dpas_data_inc[11][0],out,VCCGT
65,gen12p93dl2/gtslice0/gtssm2/gteutop1,dftring_gtssm_out1_gteutop_in1.any_pkt.done,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar11,dftring_gtssmpar1_out1_gteutop_in1.any_pkt.done,out,VCCGT
66,gen12p93dl2/gtslice1/gtssm3/gtlscpar11,rt_lsc_cmd_1.req_type[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar51,rt_lsc_cmd_1.req_type[0],out,VCCGT
68,gen12p93dl2/gtslice1/gtssm1/gtssmpar21,cp_cgacgdis_sampler,in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar11,cp_cgacgdis_sampler,out,VCCGT
69,gen12p93dl2/gtslice1/gtssm1/gtssmpar41,cp_cgacgdis_sampler,in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar11,cp_cgacgdis_sampler,out,VCCGT
70,gen12p93dl2/gtslice1/gtssm1/gtssmpar31,cp_cgacgdis_sampler,in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar11,cp_cgacgdis_sampler,out,VCCGT
71,gen12p93dl2/gtslice1/gtssm2/gtssmpar61,ft_cpss_ss1_cpss_frag1_pss_cpss_ss_inf_target_I_data.hdr.x[0][3],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtcpipepar21,pss_cpss_ss_1.hdr.x[0][3],out,VCCGT
78,gen12p93dl2/gtslice1/gtssm3/gtssmpar61,ft_tdl_input1_hiz_tdl_sif_intf_I_put,in,VCCGT,gen12p93dl2/gtslice1/gtssm02tieoffpar1,gtslice_ft_tieoff_ext_exttie__gtssm3_gtslice_ft__gtslice0_gtssm1_gtssmpar11_tdlunit1_target_ext_tdlunit_tdl_input1_hiz_tdl_sif_intf_target_O_put,out,VCCGT
79,gen12p93dl2/gtslice1/gtssm0/gtssmpar11,eu_dfpd_oa_ext_events_1.eu_stall_aluwr_cycles,in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gteutop1,eu_dfpd_oa_ext_events.eu_stall_aluwr_cycles,out,VCCGT
80,gen12p93dl2/gtslice0/gtsc1/gtfixpar51,vfbe2_vf_done_cg.vf_gafs_end_vtx,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar41,vfbe2_vf_done_cg.vf_gafs_end_vtx,out,VCCGT
81,gen12p93dl2/gtsqmcxlinf1/gtsqidim0/gtsqidim0par11,msnp_msqcw_snpreq_pkt_1.addr[10],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0/gtsqbgf_vccgt_wrap01,msnp_msqcw_snpreq_pkt_1.addr[10],out,VCCGT
92,gen12p93dl2/gtslice0/gtssm0/gteutop4,ic_eu_signals.tag[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar11,ic_eu_signals_4.tag[0],out,VCCGT
95,gen12p93dl2/gtslice0/gtsc1/gtxetlbpar21,slxetlb_cru_cmp_pkt_0__1.clientid.tileid[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtxetlbpar11,xetlb_client_cmp_ret_pkt_1.clientid.tileid[0],out,VCCGT
102,gen12p93dl2/gtslice0/gtssm2/gtssmpar11,lsc_dfpd_oa_int_events.lsc_msg_latency_outstanding[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtlscpar11,lsc_dfpd_oa_int_events.lsc_msg_latency_outstanding[0],out,VCCGT
106,gen12p93dl2/gtslice1/gtssm3/gteutop1,ma_eu_bus_data_sb.sb.regaddr[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar11,ma_eu_bus_data_sb_1.sb.regaddr[0],out,VCCGT
115,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0/gtsqbgf_vccvnninf_wrap01,mbgfgt_uc_g2xdata_payload_enclk_1[0][12][0],in,VCCCFC,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0/gtsqbgf_vccgt_wrap01,mbgfgt_uc_g2xdata_payload_enclk_1[0][12][0],out,VCCGT
131,gen12p93dl2/gtslice0/gtssm0/gteusystop3,ga_dpas_data_inc[12][0],in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gteutop3,ga_dpas_data_inc[12][0],out,VCCGT
146,gen12p93dl2/gtslice1/gtssm3/gteusystop6,ga_dpas_data_inc[7][0],in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gteutop6,ga_dpas_data_inc[7][0],out,VCCGT
150,gen12p93dl2/gtslice1/gtssm0/gteusystop2,vccgt_vr_pwrgood,in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gteutop2,ft_gteusystop_vccgt_vr_pwrgood,out,VCCGT
158,gen12p93dl2/gtslice0/gtssm3/gteutop0,dpas_ga_out[362],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gteusystop0,dpas_ga_out[11][10],out,VCCGT
184,gen12p93dl2/gtslice1/gtssm2/gtssmpar31,ft_cpss_ss1_cpss_frag1_pss_cpss_ss_inf_target_O_data_int.hdr.m8x8_sel[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar61,ft_cpss_ss1_cpss_frag1_pss_cpss_ss_inf_target_I_data_int.hdr.m8x8_sel[0],out,VCCGT
185,gen12p93dl2/gtslice1/gtssm0/gtssmpar11,eu_tdl_notify_signals_6[1].notify_control,in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gteutop6,eu_tdl_notify_signals[1].notify_control,out,VCCGT
197,gen12p93dl2/gtslice0/gtssm2/gtssmpar21,dftring_gteutop_out2_gtssmpar2_in2.any_pkt.error,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gteutop5,dftring_gteutop_out2_gtssm_in2.any_pkt.error,out,VCCGT
205,gen12p93dl2/gtslice1/gtssm3/gtssmpar61,gdt_broadcast_prev.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar61,gdt_broadcast_next_1.dynamic_ebb_trims[0],out,VCCGT
207,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1/gtsqbgf_vccvnninf_wrap11,mbgfgt_uc_g2xdata_payload_enclk[0][2][0],in,VCCCFC,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1/gtsqbgf_vccgt_wrap11,mbgfgt_uc_g2xdata_payload_enclk[0][2][0],out,VCCGT
225,gen12p93dl2/gtslice0/gtssm13tieoffpar1,gtslice_ft_tieoff_dsy_dsytie__gtssm1_gtslice_ft__gtslice0_gtssm1_gtssmpar61_cpssunit1_sender_dsy_cpssunit_cpss_ss1_cpss_frag1_pss_cpss_ss_inf_target_target_I_data.mask.mask_cpsdis_1pq.mask[0][1][9][0],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar31,ft_pss_cpss_ss_L_RL.mask.mask_cpsdis_1pq.mask[0][1][9][0],out,VCCGT
227,gen12p93dl2/gtslice0/gtssm2/gtssmpar11,eu_dfpd_oa_ext_events_3.eu_inst_executed_fp64_2nd,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gteutop3,eu_dfpd_oa_ext_events.eu_inst_executed_fp64_2nd,out,VCCGT
228,gen12p93dl2/gtslice0/gtssm2/gtssmpar31,ft_psdtctrl1_target_inf_O_data_int.sample_id[1][0],in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar61,ft_psdtctrl1_target_inf_I_data_int.sample_id[1][0],out,VCCGT
229,gen12p93dl2/gtslice0/gtssm3/gtssmpar11,vdmodi_gtssmpar5_gtssmpar1_chain.tck,in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar51,vdmodi_gtssmpar5_gtssmpar1_chain.tck,out,VCCGT
232,gen12p93dl2/gtslice1/gtssm3/gtssmpar31,ft_gass_dapfork_p0_cmd_pkt_L_LR.addr[10],in,VCCGT,gen12p93dl2/gtslice1/gtssm13tieoffpar1,gtslice_ft_tieoff_dsy_dsytie__gtssm3_gtslice_ft__gtslice0_gtssm1_gtssmpar61_gassunit1_target_dsy_gassunit_gass_dapfork_p0_cmd_inf_sender_sender_vc_odata.addr[10],out,VCCGT
235,gen12p93dl2/gtslice1/gtsc1/gtcpipepar21,cru_msc_cmp_pkt_1.clientid.sliceid[0],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtxetlbpar21,cru_msc_cmp_pkt_1__1.clientid.sliceid[0],out,VCCGT
252,gen12p93dl2/gtslice1/gtssm2/gtssmpar31,starb_st_interface.arr_pix_ulcl[1][1][0],in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar21,starb_st_interface.arr_pix_ulcl[1][1][0],out,VCCGT
260,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,ft_cpss_ss1_cpss_frag1_pss_cpss_ss_inf_target_I_data.hdr.state.ps_coarse_rate,in,VCCGT,gen12p93dl2/gtslice0/gtssm02tieoffpar1,gtslice_ft_tieoff_ext_exttie__gtssm3_gtslice_ft__gtslice0_gtssm1_gtssmpar61_cpssunit1_target_ext_cpssunit_cpss_ss1_cpss_frag1_pss_cpss_ss_inf_target_target_O_data.hdr.state.ps_coarse_rate,out,VCCGT
267,gen12p93dl2/gtslice1/gtssm0/gtssmpar31,ft_tdl_input1_hiz_tdl_sif_intf_O_data_int.zpass_begin,in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar61,ft_tdl_input1_hiz_tdl_sif_intf_I_data_int.zpass_begin,out,VCCGT
271,gen12p93dl2/gtslice1/gtssm3/gtssmpar31,ft_cpss_ss1_cpss_frag1_pss_cpss_ss_inf_target_O_data_int.mask.mask_cpsdis_1pq.mask[0][0][9][0],in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar61,ft_cpss_ss1_cpss_frag1_pss_cpss_ss_inf_target_I_data_int.mask.mask_cpsdis_1pq.mask[0][0][9][0],out,VCCGT
280,gen12p93dl2/gtslice0/gtssm0/gtssmpar61,ft_SI_pcp_dref_O_data_int[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar31,ft_SI_pcp_dref_I_data_int[0],out,VCCGT
290,gen12p93dl2/gtslice0/gtssm3/gtssmpar11,gass_tdl_data_creditrel,in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gass_tdl_data_creditrel,out,VCCGT
301,gen12p93dl2/gtslice0/gtssm3/gtssmpar11,lsc_dfpd_oa_int_events.lsc_lsc_rt_stall_cycles[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtlscpar11,lsc_dfpd_oa_int_events.lsc_lsc_rt_stall_cycles[0],out,VCCGT
351,gen12p93dl2/gtslice0/gtssm1/gtssmpar61,pss_cpss_ss.mask.mask_cpsdis_1pq.mask[0][1][1][0],in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar31,ft_pss_cpss_ss_L_RL.mask.mask_cpsdis_1pq.mask[0][1][1][0],out,VCCGT
371,gen12p93dl2/gtslice1/gtssm1/gteusystop5,ga_dpas_data_inc[13][0],in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gteutop5,ga_dpas_data_inc[13][0],out,VCCGT
397,gen12p93dl2/gtslice0/gtssm2/gtssmpar41,st_ft_interface_2.cl_faceID[0][0],in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar31,st_ft_interface_2.cl_faceID[0][0],out,VCCGT
402,gen12p93dl2/gtslice0/gtssm1/gtssmpar31,sc_fl_interface.arr_strm_sc_data[1].arr_subpix_quad_texel[3][2][10],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar41,sc_fl_interface.arr_strm_sc_data[1].arr_subpix_quad_texel[3][2][10],out,VCCGT
420,gen12p93dl2/gtslice1/gtssm0/gteusystop7,ga_dpas_denorm,in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gteutop7,ga_dpas_denorm,out,VCCGT
436,gen12p93dl2/gtmempipe0/gtl3bankmtieoffpar11,gtmempipe_ft_tieoff_dsy_0_dsytie__gtl3bankm0_gtmempipe_ft__gtmempipe0_gtl3bankm0_lsqdunit1_target_dsy_lsqdunit_lsqdcore_lsqd_rd_rtn1_lsqd_cmd_sender_sender_ivc_credit_rel[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtl3bankm0,ft_node_l3bankout_cmd_creditrel_L_RL[0],out,VCCGT
449,gen12p93dl2/gtslice1/gtsc1/gtrasterpar11,cfe_tdc_vcdata.payload.payload[100],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,cfe_tdc_vcdata_2.payload.payload[100],out,VCCGT
458,gen12p93dl2/gtslice1/gtssm0/gtlscpar11,lscfe_lscnode_rd_req_inf_up_0,in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar11,lscfe_lscnode_rd_req_inf_up,out,VCCGT
472,gen12p93dl2/gtslice1/gtssm1/gtssmpar41,st_sc_interface.ssid[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar31,st_sc_interface.ssid[0],out,VCCGT
478,gen12p93dl2/gtslice0/gtssm0/gtssmpar31,ft_oaal0_top0_oaal0_sif_comp0_sif_oacs_oa_ctrl_rx_I_level.go,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtrasterpar21,oacs_oa_ctrl_next.go,out,VCCGT
479,gen12p93dl2/gtslice0/gtssm2/gtssmpar31,ft_oaal0_top0_oaal0_sif_comp0_sif_oacs_oa_ctrl_rx_I_level.go,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtrasterpar21,oacs_oa_ctrl_next.go,out,VCCGT
480,gen12p93dl2/gtsqmcxlinf1/gtmcxlpar1,sqidi_mcxl_c2ureq_1__1.addr[5],in,VCCCFC,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1/gtsqbgf_vccvnninf_wrap11,sqidi_mcxl_c2ureq_1[0].addr[5],out,VCCCFC
489,gen12p93dl2/gtslice0/gtssm1/gtssmpar51,dftring_gtssmpar6_rptr1_gtssmpar5_rptr3.any_pkt.ring_ungate,in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar61,dftring_gtssmpar6_rptr1_gtssmpar5_rptr3.any_pkt.ring_ungate,out,VCCGT
494,gen12p93dl2/gtslice0/gtssm2/gteutop0,ma_eu_tdr_bus.tdr_last,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar11,ma_eu_tdr_bus.tdr_last,out,VCCGT
496,gen12p93dl2/gtslice0/gtssm2/gteutop2,ma_eu_tdr_bus.tdr_last,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar11,ma_eu_tdr_bus.tdr_last,out,VCCGT
497,gen12p93dl2/gtslice0/gtssm2/gteutop3,ma_eu_tdr_bus.tdr_last,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar11,ma_eu_tdr_bus.tdr_last,out,VCCGT
498,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar11,gacs_media_lngp_cmd_pkt_0.ext_attrib.fmt0.engineid[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtgacspar31,gacs_lngp_cmd_pkt_0.ext_attrib.fmt0.engineid[0],out,VCCGT
502,gen12p93dl2/gtslice1/gtssm3/gtssmpar21,dftring_gteutop_out2_gtssmpar2_in2.any_pkt.valid,in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gteutop5,dftring_gteutop_out2_gtssm_in2.any_pkt.valid,out,VCCGT
507,gen12p93dl2/gtslice0/gtssm1/gtssmpar31,si_fl_sideband_interface.sb_data.msgtype[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar21,si_fl_sideband_interface.sb_data.msgtype[0],out,VCCGT
508,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1/gtsqbgf_vccvnninf_wrap11,mcxl_sqidi_u2cdata[0].goerr,in,VCCCFC,gen12p93dl2/gtsqmcxlinf1/gtmcxlpar1,mcxl_sqidi_u2cdata_1__0.goerr,out,VCCCFC
509,gen12p93dl2/gtslice0/gtssm2/gtssmpar61,ft_cpss_ss1_cpss_frag1_pss_cpss_ss_inf_target_I_data.mask.mask_cpsdis_1pq.mask[0][2][6][0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar21,pss_cpss_ss_1.mask.mask_cpsdis_1pq.mask[0][2][6][0],out,VCCGT
513,gen12p93dl2/gtslice1/gtssm3/gtssmpar11,psd_tdl_vcen[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar61,psd_tdl_vcen[0],out,VCCGT
515,gen12p93dl2/gtslice0/gtssm1/gtssmpar51,lsc_rt_return_3.data[100],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtlscpar11,lsc_rt_return_3.data[100],out,VCCGT
518,gen12p93dl2/gtslice1/gtssm1/gtssmpar11,eu_tdl_notify_signals_0[6].notify_data,in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gteutop0,eu_tdl_notify_signals[6].notify_data,out,VCCGT
520,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar11,lnic_lngp_cmp_pkt_0__1.tag[10],in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnode01/gtnode0lnipar11,lnic_lngp_cmp_pkt_1.tag[10],out,VCCGT
521,gen12p93dl2/gtslice0/gtssm1/gtlscpar11,lscfe_lscnode_cmd_pkt_2.cmd.chain_req,in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar11,lscfe_lscnode_cmd_pkt_2.cmd.chain_req,out,VCCGT
524,gen12p93dl2/gtsqmcxlinf1/gtsqidim0/gtsqidim0par21,common_psmi_addr_reg.base_addr[6],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0/gtsqbgf_vccvnninf_wrap01,common_psmi_addr_reg.base_addr[6],out,VCCCFC
547,gen12p93dl2/gtslice0/gtsc1/gtzpipepar11,nodex_zarb_cmd_creditrel_0[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,nodex_zarb_cmd_creditrel_0__0[0],out,VCCGT
550,gen12p93dl2/gtslice0/gtssm3/gteusystop7,ga_dpas_data_inc[14][0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gteutop7,ga_dpas_data_inc[14][0],out,VCCGT
564,gen12p93dl2/gtslice0/gtssm0/gtssmpar11,eu_gpm_emon_events_0.tc_eu_stalled,in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gteutop0,eu_gpm_emon_events.tc_eu_stalled,out,VCCGT
579,gen12p93dl2/gtslice0/gtsc1/gtfixpar11,vfl_gafm_cmd_pkt.tag[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar51,vfl_gafm_cmd_pkt.tag[0],out,VCCGT
594,gen12p93dl2/gtslice1/gtssm1/gtssmpar61,ft_psdtctrl1_target_inf_I_data.sample_id[2][0],in,VCCGT,gen12p93dl2/gtslice1/gtssm02tieoffpar1,gtslice_ft_tieoff_ext_exttie__gtssm1_gtslice_ft__gtslice0_gtssm1_gtssmpar61_psdunit1_target_ext_psdunit_psdtctrl1_target_inf_target_O_data.sample_id[2][0],out,VCCGT
613,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar31,lnep_lc_cmd_pkt_3.ctype[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar41,lnep_lc_cmd_pkt_3.ctype[0],out,VCCGT
615,gen12p93dl2/gtslice0/gtssm0/gteusystop5,ga_dpas_data_ina[12][10],in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gteutop5,ga_dpas_data_ina[12][10],out,VCCGT
629,gen12p93dl2/gtslice1/gtssm0/gtssmpar11,eu_ic_signals_4.addr[10],in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gteutop4,eu_ic_signals.addr[10],out,VCCGT
644,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar41,sqidi_dfpd_oa_ext_events_0.gpu_memory_write,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqidim0/gtsqidim0par21,sqidi_dfpd_oa_ext_events.gpu_memory_write,out,VCCGT
672,gen12p93dl2/gtmempipe0/gtl3bankm6,visagtl3bankm_prog_bus_in.visa_serial_cfg[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtl3bankm7,visagtl3bankm_visagtl3bankm_prog_bus_out.visa_serial_cfg[0],out,VCCGT
687,gen12p93dl2/gtslice1/gtssm2/gteusystop2,ga_dpas_data_inb[8][10],in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gteutop2,ga_dpas_data_inb[8][10],out,VCCGT
701,gen12p93dl2/gtslice1/gtssm2/gteusystop0,ga_dpas_data_inb[12][10],in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gteutop0,ga_dpas_data_inb[12][10],out,VCCGT
771,gen12p93dl2/gtslice0/gtssm0/gtssmpar11,psd_tdl_inf_up,in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar61,psd_tdl_inf_up,out,VCCGT
778,gen12p93dl2/gtslice1/gtssm1/gteutop5,dpas_ga_out[320],in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gteusystop5,dpas_ga_out[10][0],out,VCCGT
801,gen12p93dl2/gtslice0/gtssm2/gtssmpar21,lscnode_lscfe_msg_frag_rdy_sb_3.cl_addr.set[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtlscpar11,lscnode_lscfe_msg_frag_rdy_sb_7.cl_addr.set[0],out,VCCGT
826,gen12p93dl2/gtslice1/gtssm0/gteusystop6,dftevent_ssm_eusystop.packet_raw.dt_lcp_pulse,in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gteutop6,dftevent_eutop_eusystop.packet_raw.dt_lcp_pulse,out,VCCGT
831,gen12p93dl2/gtmempipe0/gtl3bankm5,dftring_top_out1_gtl3bankm_in1.any_pkt.ring_ungate,in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnode11/gtnode1lnepar11,dftring_gtnode1lnepar1_out1_gtl3bankm_in1.any_pkt.ring_ungate,out,VCCGT
842,gen12p93dl2/gtslice0/gtssm2/gteusystop2,ga_dpas_data_inc[12][0],in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gteutop2,ga_dpas_data_inc[12][0],out,VCCGT
843,gen12p93dl2/gtslice1/gtssm2/gtssmpar61,dftring_gtlscpar1_rptr3_gtssmpar6_scan1.any_pkt.error,in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtlscpar11,dftring_gtlscpar1_rptr3_gtssmpar6_scan1.any_pkt.error,out,VCCGT
848,gen12p93dl2/gtslice0/gtsc1/gtrasterpar11,tdl_tdc_deref_bus_0.fftid[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar11,tdl_tdc_deref_bus.fftid[0],out,VCCGT
856,gen12p93dl2/gtslice1/gtsc1/gtfixpar31,sol_cl_data.even_pkt.handle_id[10],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtfixpar11,sol_cl_data.even_pkt.handle_id[10],out,VCCGT
876,gen12p93dl2/gtslice1/gtssm0/gtssmpar61,pss_cpss_ss.crast_mask[13][0],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtcpipepar11,pss_cpss_ss_0.crast_mask[13][0],out,VCCGT
880,gen12p93dl2/gtmempipe0/gtl3bankmtieoffpar11,gtmempipe_ft_tieoff_dsy_2_dsytie__gtl3bankm2_gtmempipe_ft__gtmempipe0_gtl3bankm0_lbiunit1_sender_dsy_lbiunit_lbicore_lbiinlet1_l3_cmd_sif_target_vc_iput,in,VCCGT,gen12p93dl2/gtmempipe0/gtl3bankm2,ft_node_l3bankin_cmd_put_L_RL,out,VCCGT
